point_id,site_id,sign_id,site_description,total_words,korean_in_hangul,korean_in_roman,english_in_hangul,english_in_roman,no_loan,type_loan,word_loan,no_loan_2,type_loan_2,words_loan_2,no_loan_3,type_loan_3,words_loan_3,kor_loan,kor_hier,kor_check,kor_size,eng_hier,eng_check,eng_size,other_hier,other_check,other_size,chinese,japanese,span,fren,arabic,viet,thai,turkish
1,1,,7 eleven,3,2,,,,1,2,hipass,,,,,,,,FALSE,1,2,FALSE,0,,FALSE,0,,,,,,,,,
1,1,,,2,2,,,,,,,,,,,,,,FALSE,1,3,FALSE,0,,FALSE,0,,,,,,,,,
1,1,,,2,,,,2,,,,,,,,,,,FALSE,0,,FALSE,1,3,FALSE,0,,,,,,,,,
1,1,,,2,,,,2,,,,,,,,,,,FALSE,0,,FALSE,1,3,FALSE,0,,,,,,,,,
1,1,,,2,,,,2,,,,,,,,,,,FALSE,0,,FALSE,1,1,FALSE,0,,,,,,,,,
1,1,,,1,,,,1,,,,,,,,,,,FALSE,0,,FALSE,1,3,FALSE,0,,,,,,,,,
1,1,,,1,1,,,,,,,,,,,,,,FALSE,1,3,FALSE,0,,FALSE,0,,,,,,,,,
1,2,,anne,1,,,,1,,,,,,,,,,,FALSE,0,,FALSE,1,2,FALSE,0,,,,,,,,,
1,2,,,1,,,,1,,,,,,,,,,,FALSE,0,,FALSE,1,2,FALSE,0,,,,,,,,,
1,2,,,1,,,,1,,,,,,,,,,,FALSE,0,,FALSE,1,2,FALSE,0,,,,,,,,,
1,3,1,furniture,4,4,,,,,,,,,,,,,,FALSE,1,1,FALSE,0,,FALSE,0,,,,,,,,,
1,3,1,,8,6,,,,1,2,stand,1,1,accessory,,,,,FALSE,1,2,FALSE,0,,FALSE,0,,,,,,,,,
1,3,,,3,3,,,,,,,,,,,,,,FALSE,1,2,FALSE,0,,FALSE,0,,,,,,,,,
1,4,,montmartre,4,2,,1,,1,1,market,,,,,,,,FALSE,1,3,FALSE,0,,FALSE,0,,,,,,,,,
1,5,,pink house,5,,,2,,3,1,"choice, antique, house",,,,,,,,FALSE,1,,FALSE,0,,FALSE,0,,,,,,,,,
1,6,,home,6,2,,,2,2,1,"europe, antique",,,,,,,,20,1,2,10,1,1,FALSE,0,,,,,,,,,
